prod_code,prod_name,prod_manu,prod_url,prod_link
PROD006,ZT2000 Zero Turn Mower,Bobcat,https://www.bobcat.com/mowers/zero-turn-mowers/zt2000,ZT2000 Zero Turn Mower
PROD005,UV34 Gas ,Bobcat,https://www.bobcat.com/utility-products/utv/UV34/UV34-gas-utv,UV34 Gas 
PROD004,CT1021 Sub-Compact Tractor,Bobcat,https://www.bobcat.com/tractors/models/ct1021/features,CT1021 Sub-Compact Tractor
PROD007,S70 Skid Steer Loader,Bobcat,https://www.bobcat.com/loaders/skid-steer-loaders/models/s70/features,S70 Skid Steer Loader
PROD002,CUV82,Cat,https://www.cat.com/en_US/products/new/equipment/utility-vehicles/utility-vehicles/1000034280.html,CUV82
PROD001,Gator XUV 590M,John Deere,https://e-marketing.deere.com/store/landpro-equipmentalexander-ny/ViewAllProducts.do,Gator XUV 590M
PROD008,Z930M Ztrack,John Deere,https://e-marketing.deere.com/store/landpro-equipmentalexander-ny/ViewAllProducts.do,Z930M Ztrack
PROD003,1025R Sub-Compact Tractor,John Deere,https://e-marketing.deere.com/store/landpro-equipmentalexander-ny/ViewAllProducts.do,1025R Sub-Compact Tractor
